Category,Value,Question,Answer
"История",100,"В каком году началась Вторая мировая война?","1939"
"История",200,"Кто был первым президентом США?","Джордж Вашингтон"
"История",300,"В каком году пала Берлинская стена?","1989"
"История",400,"Кто написал ""Войну и мир""?","Лев Толстой"
"История",500,"В каком году произошла Октябрьская революция?","1917"
"Наука",100,"Какая планета ближайшая к Солнцу?","Меркурий"
"Наука",200,"Сколько костей в теле взрослого человека?","206"
"Наука",300,"Какой газ составляет 78% атмосферы Земли?","Азот"
"Наука",400,"Кто открыл закон всемирного тяготения?","Исаак Ньютон"
"Наука",500,"Какой элемент имеет символ Au?","Золото"
"Спорт",100,"В каком году проходили Олимпийские игры в Москве?","1980"
"Спорт",200,"Сколько игроков в команде по футболу?","11"
"Спорт",300,"Кто выиграл чемпионат мира по футболу 2018?","Франция"
"Спорт",400,"В каком виде спорта используется ракетка?","Теннис"
"Спорт",500,"Кто является рекордсменом по количеству золотых медалей Олимпиады?","Майкл Фелпс"
"Кино",100,"Кто снял фильм ""Криминальное чтиво""?","Квентин Тарантино"
"Кино",200,"В каком году вышел фильм ""Титаник""?","1997"
"Кино",300,"Кто играл главную роль в ""Форресте Гампе""?","Том Хэнкс"
"Кино",400,"Какой фильм получил Оскар за лучший фильм в 2020?","Паразиты"
"Кино",500,"Кто режиссер фильма ""Криминальное чтиво""?","Квентин Тарантино"
"География",100,"Какая самая длинная река в мире?","Нил"
"География",200,"В какой стране находится Эйфелева башня?","Франция"
"География",300,"Какая столица Австралии?","Канберра"
"География",400,"Сколько континентов на Земле?","7"
"География",500,"Какая самая высокая гора в мире?","Эверест"
